date,store_id,store_size,product_id,category,price,units_sold,revenue,promotion,season
2025-06-17,1,Small,1,Electronics,98.25,13,1277.29,False,Summer
2025-06-17,1,Small,2,Books,86.01,21,1806.26,False,Summer
2025-06-17,1,Small,3,Groceries,97.08,41,3980.21,False,Summer
2025-06-17,1,Small,4,Groceries,16.84,51,858.77,True,Summer
2025-06-17,1,Small,5,Books,78.87,11,867.59,False,Summer
2025-06-17,1,Small,6,Groceries,33.44,8,267.51,False,Summer
2025-06-17,1,Small,7,Electronics,75.04,44,3301.64,False,Summer
2025-06-17,1,Small,8,Clothing,67.65,43,2909.06,False,Summer
2025-06-17,1,Small,9,Clothing,33.73,14,472.28,False,Summer
2025-06-17,1,Small,10,Groceries,84.67,20,1693.31,False,Summer
2025-06-17,1,Small,11,Electronics,17.77,6,106.65,True,Summer
2025-06-17,1,Small,12,Books,31.81,15,477.16,True,Summer
2025-06-17,1,Small,13,Home Goods,95.58,29,2771.94,False,Summer
2025-06-17,1,Small,14,Groceries,79.91,39,3116.59,True,Summer
2025-06-17,1,Small,15,Home Goods,53.61,29,1554.72,False,Summer
2025-06-17,1,Small,16,Groceries,33.3,31,1032.45,False,Summer
2025-06-17,1,Small,17,Groceries,62.91,30,1887.44,True,Summer
2025-06-17,1,Small,18,Books,14.92,56,835.61,True,Summer
2025-06-17,1,Small,19,Home Goods,95.89,23,2205.57,False,Summer
2025-06-17,1,Small,20,Home Goods,83.79,7,586.51,True,Summer
2025-06-17,2,Medium,1,Electronics,76.57,30,2297.02,False,Summer
2025-06-17,2,Medium,2,Electronics,12.85,52,668.37,False,Summer
2025-06-17,2,Medium,3,Electronics,84.07,54,4539.83,False,Summer
2025-06-17,2,Medium,4,Books,94.05,15,1410.73,False,Summer
2025-06-17,2,Medium,5,Books,31.61,13,410.89,False,Summer
2025-06-17,2,Medium,6,Books,61.77,41,2532.42,False,Summer
2025-06-17,2,Medium,7,Books,82.5,7,577.52,False,Summer
2025-06-17,2,Medium,8,Home Goods,23.81,36,857.01,False,Summer
2025-06-17,2,Medium,9,Electronics,81.26,10,812.57,False,Summer
2025-06-17,2,Medium,10,Home Goods,43.59,3,130.77,False,Summer
2025-06-17,2,Medium,11,Books,91.61,40,3664.33,False,Summer
2025-06-17,2,Medium,12,Clothing,13.68,14,191.48,False,Summer
2025-06-17,2,Medium,13,Electronics,17.71,17,301.02,False,Summer
2025-06-17,2,Medium,14,Clothing,61.58,16,985.32,False,Summer
2025-06-17,2,Medium,15,Clothing,20.94,10,209.45,True,Summer
2025-06-17,2,Medium,16,Clothing,23.68,73,1728.75,True,Summer
2025-06-17,2,Medium,17,Clothing,62.75,87,5458.9,True,Summer
2025-06-17,2,Medium,18,Clothing,29.59,23,680.51,False,Summer
2025-06-17,2,Medium,19,Groceries,41.45,45,1865.21,False,Summer
2025-06-17,2,Medium,20,Home Goods,7.4,10,74.04,True,Summer
2025-06-17,3,Medium,1,Electronics,14.19,46,652.86,True,Summer
2025-06-17,3,Medium,2,Electronics,41.54,49,2035.68,False,Summer
2025-06-17,3,Medium,3,Books,7.79,50,389.64,False,Summer
2025-06-17,3,Medium,4,Home Goods,51.12,33,1687.02,False,Summer
2025-06-17,3,Medium,5,Clothing,24.83,18,446.89,True,Summer
2025-06-17,3,Medium,6,Home Goods,18.8,28,526.36,False,Summer
2025-06-17,3,Medium,7,Home Goods,8.76,39,341.65,False,Summer
2025-06-17,3,Medium,8,Electronics,30.55,83,2535.54,True,Summer
2025-06-17,3,Medium,9,Clothing,48.93,4,195.71,False,Summer
2025-06-17,3,Medium,10,Clothing,74.68,9,672.11,False,Summer
2025-06-17,3,Medium,11,Home Goods,13.64,57,777.33,False,Summer
2025-06-17,3,Medium,12,Electronics,75.99,17,1291.83,False,Summer
2025-06-17,3,Medium,13,Clothing,19.56,8,156.5,False,Summer
2025-06-17,3,Medium,14,Electronics,92.25,21,1937.35,False,Summer
2025-06-17,3,Medium,15,Clothing,61.53,26,1599.74,False,Summer
2025-06-17,3,Medium,16,Home Goods,69.27,35,2424.62,True,Summer
2025-06-17,3,Medium,17,Books,7.98,10,79.83,True,Summer
2025-06-17,3,Medium,18,Groceries,96.38,2,192.75,False,Summer
2025-06-17,3,Medium,19,Clothing,7.95,12,95.4,False,Summer
2025-06-17,3,Medium,20,Home Goods,48.66,26,1265.15,False,Summer
2025-06-17,4,Medium,1,Books,92.47,22,2034.39,False,Summer
2025-06-17,4,Medium,2,Home Goods,99.87,1,99.87,False,Summer
2025-06-17,4,Medium,3,Books,83.67,29,2426.54,False,Summer
2025-06-17,4,Medium,4,Groceries,80.57,51,4109.19,False,Summer
2025-06-17,4,Medium,5,Electronics,88.85,53,4708.79,False,Summer
2025-06-17,4,Medium,6,Home Goods,92.99,5,464.94,False,Summer
2025-06-17,4,Medium,7,Home Goods,58.6,30,1757.99,True,Summer
2025-06-17,4,Medium,8,Home Goods,74.18,29,2151.32,False,Summer
2025-06-17,4,Medium,9,Books,21.63,16,346.13,False,Summer
2025-06-17,4,Medium,10,Clothing,19.15,29,555.49,True,Summer
2025-06-17,4,Medium,11,Groceries,36.17,8,289.38,False,Summer
2025-06-17,4,Medium,12,Books,43.25,32,1383.95,False,Summer
2025-06-17,4,Medium,13,Home Goods,45.97,15,689.6,True,Summer
2025-06-17,4,Medium,14,Electronics,17.1,33,564.35,False,Summer
2025-06-17,4,Medium,15,Electronics,91.12,17,1549.01,False,Summer
2025-06-17,4,Medium,16,Home Goods,60.06,8,480.49,False,Summer
2025-06-17,4,Medium,17,Clothing,20.8,19,395.25,False,Summer
2025-06-17,4,Medium,18,Groceries,56.96,18,1025.29,False,Summer
2025-06-17,4,Medium,19,Clothing,52.89,10,528.85,False,Summer
2025-06-17,4,Medium,20,Groceries,93.98,2,187.96,False,Summer
2025-06-17,5,Small,1,Books,60.29,43,2592.52,False,Summer
2025-06-17,5,Small,2,Groceries,29.02,3,87.06,True,Summer
2025-06-17,5,Small,3,Electronics,58.0,16,928.05,True,Summer
2025-06-17,5,Small,4,Electronics,78.31,22,1722.78,False,Summer
2025-06-17,5,Small,5,Home Goods,58.53,36,2106.99,False,Summer
2025-06-17,5,Small,6,Books,34.38,9,309.43,False,Summer
2025-06-17,5,Small,7,Books,11.43,41,468.81,False,Summer
2025-06-17,5,Small,8,Books,60.18,37,2226.6,False,Summer
2025-06-17,5,Small,9,Books,97.65,1,97.65,False,Summer
2025-06-17,5,Small,10,Clothing,76.8,28,2150.32,False,Summer
2025-06-17,5,Small,11,Electronics,9.02,30,270.49,False,Summer
2025-06-17,5,Small,12,Groceries,47.88,4,191.54,False,Summer
2025-06-17,5,Small,13,Home Goods,68.49,29,1986.22,True,Summer
2025-06-17,5,Small,14,Electronics,49.56,8,396.5,False,Summer
2025-06-17,5,Small,15,Electronics,66.05,4,264.18,False,Summer
2025-06-17,5,Small,16,Home Goods,26.8,20,536.07,True,Summer
2025-06-17,5,Small,17,Books,46.34,2,92.69,False,Summer
2025-06-17,5,Small,18,Electronics,58.37,28,1634.26,False,Summer
2025-06-17,5,Small,19,Electronics,57.7,47,2711.74,True,Summer
2025-06-17,5,Small,20,Books,31.78,19,603.85,False,Summer
2025-06-18,1,Medium,1,Clothing,59.45,82,4874.62,True,Summer
2025-06-18,1,Medium,2,Home Goods,12.93,7,90.52,False,Summer
2025-06-18,1,Medium,3,Groceries,52.93,40,2117.03,False,Summer
2025-06-18,1,Medium,4,Home Goods,94.69,21,1988.42,False,Summer
2025-06-18,1,Medium,5,Electronics,47.19,33,1557.3,False,Summer
2025-06-18,1,Medium,6,Groceries,88.12,54,4758.65,False,Summer
2025-06-18,1,Medium,7,Clothing,91.84,25,2296.0,False,Summer
2025-06-18,1,Medium,8,Groceries,12.89,20,257.89,False,Summer
2025-06-18,1,Medium,9,Electronics,22.79,15,341.82,True,Summer
2025-06-18,1,Medium,10,Groceries,15.56,11,171.15,True,Summer
2025-06-18,1,Medium,11,Home Goods,22.84,46,1050.66,False,Summer
2025-06-18,1,Medium,12,Books,96.88,43,4165.79,False,Summer
2025-06-18,1,Medium,13,Clothing,11.32,11,124.48,False,Summer
2025-06-18,1,Medium,14,Home Goods,6.39,15,95.86,False,Summer
2025-06-18,1,Medium,15,Groceries,98.63,34,3353.48,False,Summer
2025-06-18,1,Medium,16,Clothing,42.32,54,2285.13,False,Summer
2025-06-18,1,Medium,17,Groceries,27.21,15,408.09,False,Summer
2025-06-18,1,Medium,18,Home Goods,90.11,14,1261.51,False,Summer
2025-06-18,1,Medium,19,Groceries,83.25,1,83.25,False,Summer
2025-06-18,1,Medium,20,Books,16.72,58,969.5,False,Summer
2025-06-18,2,Large,1,Home Goods,84.95,73,6201.26,False,Summer
2025-06-18,2,Large,2,Groceries,45.6,38,1732.74,False,Summer
2025-06-18,2,Large,3,Home Goods,98.86,2,197.72,False,Summer
2025-06-18,2,Large,4,Books,46.42,59,2739.06,True,Summer
2025-06-18,2,Large,5,Electronics,7.53,37,278.67,False,Summer
2025-06-18,2,Large,6,Groceries,23.08,56,1292.55,False,Summer
2025-06-18,2,Large,7,Books,16.09,66,1062.24,False,Summer
2025-06-18,2,Large,8,Home Goods,7.65,35,267.76,False,Summer
2025-06-18,2,Large,9,Home Goods,19.61,13,254.88,True,Summer
2025-06-18,2,Large,10,Home Goods,36.26,72,2610.71,False,Summer
2025-06-18,2,Large,11,Groceries,29.05,110,3195.64,True,Summer
2025-06-18,2,Large,12,Home Goods,24.06,2,48.12,False,Summer
2025-06-18,2,Large,13,Clothing,83.24,38,3163.14,True,Summer
2025-06-18,2,Large,14,Electronics,99.12,65,6442.69,False,Summer
2025-06-18,2,Large,15,Clothing,7.63,40,305.38,False,Summer
2025-06-18,2,Large,16,Clothing,23.89,31,740.74,False,Summer
2025-06-18,2,Large,17,Home Goods,37.56,62,2328.81,True,Summer
2025-06-18,2,Large,18,Groceries,62.61,17,1064.41,False,Summer
2025-06-18,2,Large,19,Home Goods,44.05,83,3655.81,False,Summer
2025-06-18,2,Large,20,Books,16.39,46,753.97,True,Summer
2025-06-18,3,Small,1,Books,19.51,31,604.82,False,Summer
2025-06-18,3,Small,2,Home Goods,43.21,31,1339.39,False,Summer
2025-06-18,3,Small,3,Groceries,6.14,25,153.48,True,Summer
2025-06-18,3,Small,4,Home Goods,39.64,14,554.96,False,Summer
2025-06-18,3,Small,5,Home Goods,33.46,47,1572.48,True,Summer
2025-06-18,3,Small,6,Electronics,69.29,15,1039.28,False,Summer
2025-06-18,3,Small,7,Home Goods,92.99,10,929.9,False,Summer
2025-06-18,3,Small,8,Home Goods,74.95,41,3073.05,False,Summer
2025-06-18,3,Small,9,Groceries,66.38,26,1725.94,False,Summer
2025-06-18,3,Small,10,Groceries,29.86,24,716.53,False,Summer
2025-06-18,3,Small,11,Books,9.26,47,435.02,True,Summer
2025-06-18,3,Small,12,Electronics,68.1,22,1498.1,False,Summer
2025-06-18,3,Small,13,Books,88.41,9,795.68,False,Summer
2025-06-18,3,Small,14,Home Goods,94.62,1,94.62,False,Summer
2025-06-18,3,Small,15,Groceries,91.66,31,2841.41,False,Summer
2025-06-18,3,Small,16,Books,61.78,23,1420.98,False,Summer
2025-06-18,3,Small,17,Clothing,87.71,21,1841.95,False,Summer
2025-06-18,3,Small,18,Groceries,84.01,20,1680.15,False,Summer
2025-06-18,3,Small,19,Clothing,23.18,22,509.9,False,Summer
2025-06-18,3,Small,20,Electronics,61.62,30,1848.7,False,Summer
2025-06-18,4,Large,1,Clothing,76.89,61,4690.02,False,Summer
